id,timestamp,value
1,10,244
2,10,249
3,10,230
4,10,136
5,10,118
6,10,160
7,10,144
8,10,229
9,10,76
10,10,47
11,10,105
12,10,201
13,10,154
14,10,1
15,10,282
16,10,293
17,10,241
18,10,100
19,10,118
20,10,291
21,10,141
22,10,267
23,10,137
24,10,190
25,10,90
26,10,212
27,10,164
28,10,115
29,10,277
30,10,276
31,10,271
32,10,274
33,10,98
34,10,40
35,10,237
36,10,159
37,10,282
38,10,174
39,10,137
40,10,133
41,10,108
42,10,179
43,10,282
44,10,37
45,10,116
46,10,171
47,10,208
48,10,80
49,10,279
50,10,143
51,10,54
52,10,106
53,10,165
54,10,264
55,10,16
56,10,117
57,10,185
58,10,276
59,10,120
60,10,64
61,10,266
62,10,246
63,10,233
64,10,41
65,10,82
66,10,260
67,10,11
68,10,19
69,10,277
70,10,233
71,10,104
72,10,54
73,10,53
74,10,113
75,10,69
76,10,87
77,10,15
78,10,99
79,10,238
80,10,66
81,10,119
82,10,126
83,10,138
84,10,75
85,10,198
86,10,124
87,10,210
88,10,238
89,10,196
90,10,10
91,10,41
92,10,147
93,10,276
94,10,94
95,10,11
96,10,138
97,10,271
98,10,142
99,10,193
100,10,26
101,10,228
102,10,186
103,10,289
104,10,151
105,10,284
106,10,231
107,10,28
108,10,198
109,10,205
110,10,294
111,10,151
112,10,184
113,10,76
114,10,71
115,10,185
116,10,237
117,10,146
118,10,146
119,10,290
120,10,114
121,10,67
122,10,261
123,10,180
124,10,266
125,10,259
126,10,266
127,10,240
128,10,89
129,10,155
130,10,25
131,10,108
132,10,127
133,10,62
134,10,146
135,10,131
136,10,96
137,10,283
138,10,56
139,10,7
140,10,56
141,10,36
142,10,13
143,10,140
144,10,65
145,10,123
146,10,37
147,10,18
148,10,166
149,10,101
150,10,260
151,10,198
152,10,279
153,10,30
154,10,48
155,10,70
156,10,188
157,10,117
158,10,202
159,10,26
160,10,81
161,10,98
162,10,177
163,10,278
164,10,244
165,10,150
166,10,219
167,10,141
168,10,68
169,10,116
170,10,253
171,10,266
172,10,93
173,10,175
174,10,170
175,10,299
176,10,13
177,10,161
178,10,40
179,10,279
180,10,98
181,10,232
182,10,260
183,10,157
184,10,194
185,10,190
186,10,258
187,10,286
188,10,2
189,10,115
190,10,0
191,10,199
192,10,3
193,10,236
194,10,91
195,10,17
196,10,207
197,10,176
198,10,12
199,10,197
200,10,143
201,10,174
202,10,286
203,10,173
204,10,234
205,10,219
206,10,116
207,10,71
208,10,41
209,10,293
210,10,279
211,10,197
212,10,289
213,10,116
214,10,173
215,10,108
216,10,6
217,10,65
218,10,87
219,10,67
220,10,138
221,10,160
222,10,256
223,10,176
224,10,155
225,10,142
226,10,224
227,10,278
228,10,185
229,10,267
230,10,68
231,10,236
232,10,260
233,10,69
234,10,32
235,10,293
236,10,68
237,10,240
238,10,231
239,10,181
240,10,144
241,10,119
242,10,104
243,10,169
244,10,3
245,10,18
246,10,82
247,10,232
248,10,165
249,10,105
250,10,67
251,10,101
252,10,140
253,10,277
254,10,272
255,10,257
256,10,197
257,10,214
258,10,296
259,10,286
260,10,260
261,10,250
262,10,201
263,10,76
264,10,178
265,10,253
266,10,136
267,10,142
268,10,270
269,10,248
270,10,283
271,10,25
272,10,100
273,10,229
274,10,164
275,10,55
276,10,216
277,10,142
278,10,292
279,10,13
280,10,57
281,10,175
282,10,109
283,10,170
284,10,236
285,10,208
286,10,30
287,10,29
288,10,299
289,10,188
290,10,29
291,10,216
292,10,214
293,10,280
294,10,40
295,10,50
296,10,297
297,10,116
298,10,1
299,10,226
300,10,91
301,10,253
302,10,130
303,10,39
304,10,278
305,10,11
306,10,222
307,10,99
308,10,204
309,10,106
310,10,109
311,10,270
312,10,135
313,10,80
314,10,27
315,10,187
316,10,279
317,10,58
318,10,240
319,10,57
320,10,139
321,10,121
322,10,198
323,10,47
324,10,46
325,10,47
326,10,53
327,10,221
328,10,6
329,10,115
330,10,44
331,10,162
332,10,45
333,10,44
334,10,220
335,10,115
336,10,111
337,10,179
338,10,126
339,10,163
340,10,65
341,10,233
342,10,178
343,10,160
344,10,252
345,10,257
346,10,210
347,10,266
348,10,232
349,10,68
350,10,95
351,10,16
352,10,38
353,10,231
354,10,1
355,10,187
356,10,241
357,10,221
358,10,283
359,10,221
360,10,131
361,10,109
362,10,262
363,10,24
364,10,261
365,10,85
366,10,21
367,10,122
368,10,75
369,10,86
370,10,23
371,10,176
372,10,151
373,10,173
374,10,61
375,10,22
376,10,266
377,10,245
378,10,220
379,10,222
380,10,7
381,10,189
382,10,217
383,10,293
384,10,141
385,10,115
386,10,133
387,10,267
388,10,192
389,10,260
390,10,23
391,10,201
392,10,201
393,10,248
394,10,230
395,10,255
396,10,156
397,10,39
398,10,123
399,10,57
400,10,35
401,10,294
402,10,17
403,10,123
404,10,150
405,10,86
406,10,218
407,10,64
408,10,82
409,10,129
410,10,284
411,10,127
412,10,220
413,10,270
414,10,165
415,10,103
416,10,84
417,10,134
418,10,78
419,10,221
420,10,257
421,10,238
422,10,108
423,10,146
424,10,8
425,10,150
426,10,252
427,10,239
428,10,181
429,10,184
430,10,121
431,10,215
432,10,106
433,10,249
434,10,117
435,10,299
436,10,76
437,10,130
438,10,120
439,10,163
440,10,77
441,10,170
442,10,40
443,10,197
444,10,159
445,10,137
446,10,254
447,10,210
448,10,131
449,10,31
450,10,252
451,10,76
452,10,281
453,10,108
454,10,82
455,10,113
456,10,6
457,10,251
458,10,14
459,10,289
460,10,101
461,10,179
462,10,282
463,10,268
464,10,279
465,10,187
466,10,60
467,10,70
468,10,261
469,10,43
470,10,162
471,10,63
472,10,70
473,10,252
474,10,81
475,10,92
476,10,28
477,10,164
478,10,37
479,10,202
480,10,33
481,10,23
482,10,160
483,10,63
484,10,154
485,10,170
486,10,218
487,10,243
488,10,104
489,10,114
490,10,267
491,10,283
492,10,94
493,10,121
494,10,99
495,10,236
496,10,280
497,10,85
498,10,262
499,10,97
500,10,99
501,10,156
502,10,148
503,10,12
504,10,234
505,10,130
506,10,31
507,10,209
508,10,245
509,10,243
510,10,184
511,10,226
512,10,33
513,10,177
514,10,238
515,10,187
516,10,280
517,10,252
518,10,161
519,10,193
520,10,95
521,10,118
522,10,173
523,10,179
524,10,63
525,10,148
526,10,3
527,10,31
528,10,200
529,10,243
530,10,44
531,10,139
532,10,138
533,10,243
534,10,89
535,10,141
536,10,67
537,10,77
538,10,264
539,10,170
540,10,266
541,10,242
542,10,235
543,10,74
544,10,53
545,10,215
546,10,125
547,10,47
548,10,298
549,10,254
550,10,175
551,10,294
552,10,26
553,10,91
554,10,80
555,10,249
556,10,298
557,10,26
558,10,141
559,10,91
560,10,244
561,10,280
562,10,110
563,10,108
564,10,161
565,10,58
566,10,51
567,10,69
568,10,18
569,10,273
570,10,171
571,10,115
572,10,138
573,10,247
574,10,63
575,10,171
576,10,287
577,10,130
578,10,58
579,10,250
580,10,213
581,10,179
582,10,118
583,10,291
584,10,28
585,10,178
586,10,263
587,10,31
588,10,297
589,10,21
590,10,152
591,10,130
592,10,137
593,10,99
594,10,141
595,10,118
596,10,206
597,10,126
598,10,243
599,10,131
600,10,52
601,10,14
602,10,155
603,10,172
604,10,244
605,10,229
606,10,160
607,10,127
608,10,167
609,10,90
610,10,245
611,10,155
612,10,79
613,10,30
614,10,35
615,10,36
616,10,34
617,10,296
618,10,8
619,10,102
620,10,279
621,10,232
622,10,220
623,10,124
624,10,268
625,10,27
626,10,153
627,10,78
628,10,208
629,10,234
630,10,4
631,10,272
632,10,83
633,10,72
634,10,272
635,10,32
636,10,64
637,10,177
638,10,185
639,10,128
640,10,2
641,10,239
642,10,101
643,10,208
644,10,160
645,10,292
646,10,137
647,10,258
648,10,3
649,10,175
650,10,113
651,10,19
652,10,47
653,10,138
654,10,59
655,10,197
656,10,273
657,10,91
658,10,79
659,10,122
660,10,118
661,10,277
662,10,272
663,10,112
664,10,143
665,10,63
666,10,274
667,10,254
