id,timestamp,value,property,plug_id,household_id,house_id
1,10,54,1,2,0,0
2,10,230,1,2,0,0
3,10,165,1,2,0,0
4,10,45,1,2,0,0
5,10,275,1,2,0,0
6,10,237,1,2,0,0
7,10,55,1,2,0,0
8,10,124,1,2,0,0
9,10,277,1,2,0,0
10,10,88,1,2,0,0
11,10,285,1,2,0,0
12,10,188,1,2,0,0
13,10,248,1,2,0,0
14,10,189,1,2,0,0
15,10,141,1,2,0,0
16,10,69,1,2,0,0
17,10,66,1,2,0,0
18,10,274,1,2,0,0
19,10,3,1,2,0,0
20,10,124,1,2,0,0
21,10,248,1,2,0,0
22,10,34,1,2,0,0
23,10,20,1,2,0,0
24,10,192,1,2,0,0
25,10,126,1,2,0,0
26,10,197,1,2,0,0
27,10,294,1,2,0,0
28,10,247,1,2,0,0
29,10,199,1,2,0,0
30,10,177,1,2,0,0
31,10,89,1,2,0,0
32,10,76,1,2,0,0
33,10,218,1,2,0,0
34,10,260,1,2,0,0
35,10,69,1,2,0,0
36,10,58,1,2,0,0
37,10,146,1,2,0,0
38,10,51,1,2,0,0
39,10,102,1,2,0,0
40,10,133,1,2,0,0
41,10,113,1,2,0,0
42,10,282,1,2,0,0
43,10,162,1,2,0,0
44,10,205,1,2,0,0
45,10,3,1,2,0,0
46,10,266,1,2,0,0
47,10,199,1,2,0,0
48,10,234,1,2,0,0
49,10,61,1,2,0,0
50,10,30,1,2,0,0
51,10,189,1,2,0,0
52,10,152,1,2,0,0
53,10,293,1,2,0,0
54,10,270,1,2,0,0
55,10,258,1,2,0,0
56,10,88,1,2,0,0
57,10,290,1,2,0,0
58,10,116,1,2,0,0
59,10,164,1,2,0,0
60,10,10,1,2,0,0
61,10,60,1,2,0,0
62,10,175,1,2,0,0
63,10,273,1,2,0,0
64,10,29,1,2,0,0
65,10,263,1,2,0,0
66,10,92,1,2,0,0
67,10,293,1,2,0,0
68,10,28,1,2,0,0
69,10,147,1,2,0,0
70,10,45,1,2,0,0
71,10,270,1,2,0,0
72,10,139,1,2,0,0
73,10,187,1,2,0,0
74,10,98,1,2,0,0
75,10,205,1,2,0,0
76,10,26,1,2,0,0
77,10,49,1,2,0,0
78,10,76,1,2,0,0
79,10,59,1,2,0,0
80,10,131,1,2,0,0
81,10,263,1,2,0,0
82,10,266,1,2,0,0
83,10,132,1,2,0,0
84,10,13,1,2,0,0
85,10,257,1,2,0,0
86,10,298,1,2,0,0
87,10,209,1,2,0,0
88,10,20,1,2,0,0
89,10,83,1,2,0,0
90,10,131,1,2,0,0
91,10,91,1,2,0,0
92,10,190,1,2,0,0
93,10,203,1,2,0,0
94,10,176,1,2,0,0
95,10,266,1,2,0,0
96,10,274,1,2,0,0
97,10,189,1,2,0,0
98,10,127,1,2,0,0
99,10,106,1,2,0,0
100,10,67,1,2,0,0
101,10,179,1,2,0,0
102,10,148,1,2,0,0
103,10,21,1,2,0,0
104,10,108,1,2,0,0
105,10,136,1,2,0,0
106,10,112,1,2,0,0
107,10,61,1,2,0,0
108,10,284,1,2,0,0
109,10,185,1,2,0,0
110,10,92,1,2,0,0
111,10,266,1,2,0,0
112,10,230,1,2,0,0
113,10,270,1,2,0,0
114,10,190,1,2,0,0
115,10,164,1,2,0,0
116,10,89,1,2,0,0
117,10,37,1,2,0,0
118,10,197,1,2,0,0
119,10,110,1,2,0,0
120,10,147,1,2,0,0
121,10,281,1,2,0,0
122,10,130,1,2,0,0
123,10,271,1,2,0,0
124,10,299,1,2,0,0
125,10,36,1,2,0,0
126,10,278,1,2,0,0
127,10,255,1,2,0,0
128,10,138,1,2,0,0
129,10,143,1,2,0,0
130,10,150,1,2,0,0
131,10,101,1,2,0,0
132,10,196,1,2,0,0
133,10,98,1,2,0,0
134,10,1,1,2,0,0
135,10,164,1,2,0,0
136,10,284,1,2,0,0
137,10,206,1,2,0,0
138,10,211,1,2,0,0
139,10,81,1,2,0,0
140,10,180,1,2,0,0
141,10,272,1,2,0,0
142,10,197,1,2,0,0
143,10,141,1,2,0,0
144,10,58,1,2,0,0
145,10,249,1,2,0,0
146,10,299,1,2,0,0
147,10,190,1,2,0,0
148,10,223,1,2,0,0
149,10,127,1,2,0,0
150,10,24,1,2,0,0
151,10,242,1,2,0,0
152,10,83,1,2,0,0
153,10,283,1,2,0,0
154,10,20,1,2,0,0
155,10,138,1,2,0,0
156,10,201,1,2,0,0
157,10,119,1,2,0,0
158,10,241,1,2,0,0
159,10,153,1,2,0,0
160,10,168,1,2,0,0
161,10,109,1,2,0,0
162,10,167,1,2,0,0
163,10,215,1,2,0,0
164,10,47,1,2,0,0
165,10,17,1,2,0,0
166,10,100,1,2,0,0
167,10,22,1,2,0,0
168,10,37,1,2,0,0
169,10,56,1,2,0,0
170,10,183,1,2,0,0
171,10,260,1,2,0,0
172,10,71,1,2,0,0
173,10,148,1,2,0,0
174,10,62,1,2,0,0
175,10,180,1,2,0,0
176,10,166,1,2,0,0
177,10,100,1,2,0,0
178,10,130,1,2,0,0
179,10,103,1,2,0,0
180,10,182,1,2,0,0
181,10,107,1,2,0,0
182,10,79,1,2,0,0
183,10,84,1,2,0,0
184,10,276,1,2,0,0
185,10,278,1,2,0,0
186,10,209,1,2,0,0
187,10,150,1,2,0,0
188,10,203,1,2,0,0
189,10,98,1,2,0,0
190,10,44,1,2,0,0
191,10,50,1,2,0,0
192,10,250,1,2,0,0
193,10,5,1,2,0,0
194,10,25,1,2,0,0
195,10,151,1,2,0,0
196,10,27,1,2,0,0
197,10,199,1,2,0,0
198,10,21,1,2,0,0
199,10,19,1,2,0,0
200,10,94,1,2,0,0
201,10,201,1,2,0,0
202,10,21,1,2,0,0
203,10,268,1,2,0,0
204,10,252,1,2,0,0
205,10,21,1,2,0,0
206,10,209,1,2,0,0
207,10,278,1,2,0,0
208,10,291,1,2,0,0
209,10,110,1,2,0,0
210,10,192,1,2,0,0
211,10,81,1,2,0,0
212,10,48,1,2,0,0
213,10,103,1,2,0,0
214,10,219,1,2,0,0
215,10,60,1,2,0,0
216,10,155,1,2,0,0
217,10,28,1,2,0,0
218,10,232,1,2,0,0
219,10,254,1,2,0,0
220,10,98,1,2,0,0
221,10,9,1,2,0,0
222,10,80,1,2,0,0
223,10,232,1,2,0,0
224,10,145,1,2,0,0
225,10,88,1,2,0,0
226,10,240,1,2,0,0
227,10,265,1,2,0,0
228,10,244,1,2,0,0
229,10,124,1,2,0,0
230,10,109,1,2,0,0
231,10,258,1,2,0,0
232,10,137,1,2,0,0
233,10,45,1,2,0,0
234,10,214,1,2,0,0
235,10,193,1,2,0,0
236,10,6,1,2,0,0
237,10,10,1,2,0,0
238,10,208,1,2,0,0
239,10,168,1,2,0,0
240,10,262,1,2,0,0
241,10,66,1,2,0,0
242,10,1,1,2,0,0
243,10,207,1,2,0,0
244,10,5,1,2,0,0
245,10,259,1,2,0,0
246,10,171,1,2,0,0
247,10,39,1,2,0,0
248,10,191,1,2,0,0
249,10,171,1,2,0,0
250,10,40,1,2,0,0
251,10,79,1,2,0,0
252,10,166,1,2,0,0
253,10,186,1,2,0,0
254,10,92,1,2,0,0
255,10,114,1,2,0,0
256,10,43,1,2,0,0
257,10,168,1,2,0,0
258,10,155,1,2,0,0
259,10,186,1,2,0,0
260,10,249,1,2,0,0
261,10,86,1,2,0,0
262,10,124,1,2,0,0
263,10,78,1,2,0,0
264,10,237,1,2,0,0
265,10,9,1,2,0,0
266,10,124,1,2,0,0
267,10,260,1,2,0,0
268,10,283,1,2,0,0
269,10,91,1,2,0,0
270,10,157,1,2,0,0
271,10,120,1,2,0,0
272,10,210,1,2,0,0
273,10,122,1,2,0,0
274,10,156,1,2,0,0
275,10,34,1,2,0,0
276,10,150,1,2,0,0
277,10,279,1,2,0,0
278,10,164,1,2,0,0
279,10,141,1,2,0,0
280,10,30,1,2,0,0
281,10,14,1,2,0,0
282,10,223,1,2,0,0
283,10,159,1,2,0,0
284,10,181,1,2,0,0
285,10,226,1,2,0,0
286,10,16,1,2,0,0
