1449662812: 17000
1449662813: 17000
1449662814: 17000
1449662815: 17000
1449662816: 17000
1449662817: 17000
1449662818: 17000
1449662819: 17000
1449662820: 17000
1449662821: 17000
1449662822: 17000
1449662823: 17000
1449662824: 17000
1449662825: 17000
1449662826: 17000
1449662827: 17000
1449662828: 17000
1449662829: 17000
1449662830: 17000
1449662831: 17000
1449662832: 17000
1449662833: 17000
1449662834: 17000
1449662835: 17000
1449662836: 17000
1449662837: 17000
1449662838: 17000
1449662839: 17000
1449662840: 17000
1449662841: 17000
1449662842: 17000
1449662843: 17000
1449662844: 17000
1449662845: 17000
1449662846: 17000
1449662847: 17000
1449662848: 17000
1449662849: 17000
1449662850: 17000
1449662851: 17000
1449662852: 17000
1449662853: 17000
1449662854: 17000
1449662855: 17000
1449662856: 17000
1449662857: 17000
1449662858: 17000
1449662859: 17000
1449662860: 17000
1449662861: 17000
1449662862: 17000
1449662863: 17000
1449662864: 17000
1449662865: 17000
1449662866: 17000
1449662867: 17000
1449662868: 17000
1449662869: 17000
1449662870: 17000
1449662871: 17000
